step;x;y;F(x, y);F_xx(x, y);F_xy(x, y);F_yy(x, y);Hessian
0,2;-1;-1;1,268660881e-20;0;0;0;0
0,02;-1;-1;1,268660881e-20;0;0;0;0
0,002;-1;-1;1,268660881e-20;0;0;0;0
0,0002;-1;-1;1,268660881e-20;0;0;0;0
2e-05;-1;-1;1,268660881e-20;0;0;0;0
0,2;-1;-0,5;1,268660881e-20;0,0109043044;0,0778618657;0;-0,001515617533
0,02;-1;-0,5;1,268660881e-20;0;0;0;0
0,002;-1;-0,5;1,268660881e-20;0;0;0;0
0,0002;-1;-0,5;1,268660881e-20;0;0;0;0
2e-05;-1;-0,5;1,268660881e-20;0;0;0;0
0,2;-1;-0,25;1,268660881e-20;0,09764458835;0,1285032346;0;-0,004128270329
0,02;-1;-0,25;1,268660881e-20;0;0;0;0
0,002;-1;-0,25;1,268660881e-20;0;0;0;0
0,0002;-1;-0,25;1,268660881e-20;0;0;0;0
2e-05;-1;-0,25;1,268660881e-20;0;0;0;0
0,2;-1;-0,125;1,268660881e-20;0,1386364716;0,08081650743;0;-0,001632826968
0,02;-1;-0,125;1,268660881e-20;0,04778768726;0,03962077539;0;-0,0003924514606
0,002;-1;-0,125;1,268660881e-20;0;0;0;0
0,0002;-1;-0,125;1,268660881e-20;0;0;0;0
2e-05;-1;-0,125;1,268660881e-20;0;0;0;0
0,2;-1;-0,0625;1,268660881e-20;0,1504776684;0,04266921243;0;-0,0004551654223
0,02;-1;-0,0625;1,268660881e-20;0,1070511442;0,03012321034;0;-0,0002268519504
0,002;-1;-0,0625;1,268660881e-20;6,555700033e-05;0,0009176533539;0;-2,105219195e-07
0,0002;-1;-0,0625;1,268660881e-20;0;0;0;0
2e-05;-1;-0,0625;1,268660881e-20;0;0;0;0
0,2;-1;-0,03125;1,268660881e-20;0,1535456047;0,02162363696;0;-0,0001168954189
0,02;-1;-0,03125;1,268660881e-20;0,1256806569;0,01637658003;0;-6,704809339e-05
0,002;-1;-0,03125;1,268660881e-20;0,07439244549;0,01231899309;0;-3,79393977e-05
0,0002;-1;-0,03125;1,268660881e-20;0;0;0;0
2e-05;-1;-0,03125;1,268660881e-20;0;0;0;0
0,2;-1;-0,015625;1,268660881e-20;0,1543194526;0,01084815151;0;-2,942059778e-05
0,02;-1;-0,015625;1,268660881e-20;0,1305797351;0,008353485443;0;-1,744517976e-05
0,002;-1;-0,015625;1,268660881e-20;0,1149347168;0,007663014157;0;-1,468044649e-05
0,0002;-1;-0,015625;1,268660881e-20;0,01976148899;0,003169986798;0;-2,512204074e-06
2e-05;-1;-0,015625;1,268660881e-20;0;0;0;0
0,2;-0,5;-1;1,268660881e-20;0;0,0778618657;0,0109043044;-0,001515617533
0,02;-0,5;-1;1,268660881e-20;0;0;0;0
0,002;-0,5;-1;1,268660881e-20;0;0;0;0
0,0002;-0,5;-1;1,268660881e-20;0;0;0;0
2e-05;-0,5;-1;1,268660881e-20;0;0;0;0
0,2;-0,5;-0,5;0,05839873005;0,2029600221;1,666990034;0,2029600221;-0,6535211731
0,02;-0,5;-0,5;0,05839873005;0,2202229479;1,538094598;0,2202229479;-0,5429356014
0,002;-0,5;-0,5;0,05839873005;0,2203915861;1,537106688;0,2203915861;-0,5421017916
0,0002;-0,5;-0,5;0,05839873005;0,2203932716;1,537096842;0,2203932716;-0,5420934816
2e-05;-0,5;-0,5;0,05839873005;0,2203932696;1,53709686;0,2203932696;-0,5420934963
0,2;-0,5;-0,25;0,15954232;0,8137558658;2,498391231;-0,1370044564;-1,671977866
0,02;-0,5;-0,25;0,15954232;0,8151263262;2,484497185;-0,1161734562;-1,637877608
0,002;-0,5;-0,25;0,15954232;0,8150025775;2,482455563;-0,115914375;-1,63511692
0,0002;-0,5;-0,25;0,15954232;0,8150013267;2,482435057;-0,1159117816;-1,635089209
2e-05;-0,5;-0,25;0,15954232;0,8150011048;2,4824349;-0,1159120543;-1,63508921
0,2;-0,5;-0,125;0,2057263197;1,312214728;1,702608012;-0,4190443808;-1,274594719
0,02;-0,5;-0,125;0,2057263197;1,280804792;1,849553062;-0,452604847;-1,434910089
0,002;-0,5;-0,125;0,2057263197;1,279903467;1,848378611;-0,4529457878;-1,433852756
0,0002;-0,5;-0,125;0,2057263197;1,279894418;1,848366587;-0,4529491979;-1,43384191
2e-05;-0,5;-0,125;0,2057263197;1,279894073;1,848366338;-0,4529493274;-1,43384169
0,2;-0,5;-0,0625;0,2195763413;1,477289885;0,9267744869;-0,5183496125;-0,9804803769
0,02;-0,5;-0,0625;0,2195763413;1,448337122;1,031197042;-0,5813161493;-1,107783593
0,002;-0,5;-0,0625;0,2195763413;1,447098639;1,030662566;-0,5820127733;-1,107796224
0,0002;-0,5;-0,0625;0,2195763413;1,447086203;1,03065702;-0,5820197456;-1,107796217
2e-05;-0,5;-0,0625;0,2195763413;1,447086166;1,030657035;-0,5820198143;-1,107796303
0,2;-0,5;-0,03125;0,2232110481;1,520396776;0,4737227631;-0,5454903842;-0,8854651354
0,02;-0,5;-0,03125;0,2232110481;1,494510052;0,5301678352;-0,6173805367;-0,9929509012
0,002;-0,5;-0,03125;0,2232110481;1,49317642;0,5299123335;-0,6181876706;-0,9932650231
0,0002;-0,5;-0,03125;0,2232110481;1,493163027;0,5299096677;-0,6181957531;-0,9932681059
2e-05;-0,5;-0,03125;0,2232110481;1,493162833;0,5299095884;-0,6181957203;-0,993267916
0,2;-0,5;-0,015625;0,2241310165;1,5312572;0,2381852115;-0,5524300841;-0,8600955927
0,02;-0,5;-0,015625;0,2241310165;1,506343032;0,2669477495;-0,6266622243;-0,9617835501
0,002;-0,5;-0,015625;0,2241310165;1,504984934;0,266821666;-0,6274985326;-0,9621742883
0,0002;-0,5;-0,015625;0,2241310165;1,504971293;0,2668203491;-0,627506906;-0,9621781544
2e-05;-0,5;-0,015625;0,2241310165;1,504971044;0,2668200383;-0,6275070567;-0,9621781833
0,2;-0,25;-1;1,268660881e-20;0;0,1285032346;0,09764458835;-0,004128270329
0,02;-0,25;-1;1,268660881e-20;0;0;0;0
0,002;-0,25;-1;1,268660881e-20;0;0;0;0
0,0002;-0,25;-1;1,268660881e-20;0;0;0;0
2e-05;-0,25;-1;1,268660881e-20;0;0;0;0
0,2;-0,25;-0,5;0,15954232;-0,1370044564;2,498391231;0,8137558658;-1,671977866
0,02;-0,25;-0,5;0,15954232;-0,1161734562;2,484497185;0,8151263262;-1,637877608
0,002;-0,25;-0,5;0,15954232;-0,115914375;2,482455563;0,8150025775;-1,63511692
0,0002;-0,25;-0,5;0,15954232;-0,1159117816;2,482435057;0,8150013267;-1,635089209
2e-05;-0,25;-0,5;0,15954232;-0,1159120543;2,4824349;0,8150011048;-1,63508921
0,2;-0,25;-0,25;0,4911697349;-0,153062823;3,144287826;-0,153062823;-2,448208256
0,02;-0,25;-0,25;0,4911697349;0,1962820701;7,677466959;0,1962820701;-14,69734808
0,002;-0,25;-0,25;0,4911697349;0,2027234257;7,795849016;0,2027234257;-15,15271868
0,0002;-0,25;-0,25;0,4911697349;0,2027883392;7,797040951;0,2027883392;-15,15733879
2e-05;-0,25;-0,25;0,4911697349;0,2027888968;7,797052899;0,2027888968;-15,15738514
0,2;-0,25;-0,125;0,6882500082;-0,9880754485;1,888927904;-1,71060108;0,7981907729
0,02;-0,25;-0,125;0,6882500082;-1,640412989;1,502446921;-2,196334044;3,038558207
0,002;-0,25;-0,125;0,6882500082;-1,655977261;1,462068777;-2,204172997;3,115649084
0,0002;-0,25;-0,125;0,6882500082;-1,656135356;1,461645999;-2,204251806;3,116437093
2e-05;-0,25;-0,125;0,6882500082;-1,656136686;1,461641572;-2,204252614;3,116444598
0,2;-0,25;-0,0625;0,7446405943;-1,35138555;0,9514632434;-2,17000384;2,706191256
0,02;-0,25;-0,0625;0,7446405943;-2,658560879;-0,215520999;-2,425021965;6,435456203
0,002;-0,25;-0,0625;0,7446405943;-2,692718696;-0,2832448595;-2,426844115;6,514751609
0,0002;-0,25;-0,0625;0,7446405943;-2,693066076;-0,2839472782;-2,426862171;6,515543669
2e-05;-0,25;-0,0625;0,7446405943;-2,693069379;-0,2839541796;-2,426861975;6,515550178
0,2;-0,25;-0,03125;0,7587308847;-1,447809793;0,4706275294;-2,282627087;3,249437283
0,02;-0,25;-0,03125;0,7587308847;-2,912143822;-0,2369561009;-2,408231343;6,99907898
0,002;-0,25;-0,03125;0,7587308847;-2,950056054;-0,2751608289;-2,407941015;7,0846326
0,0002;-0,25;-0,03125;0,7587308847;-2,950441312;-0,2755552848;-2,407937918;7,085496831
2e-05;-0,25;-0,03125;0,7587308847;-2,950445513;-0,2755589507;-2,407938016;7,08550673
0,2;-0,25;-0,015625;0,7622430631;-1,472238964;0,2343911849;-2,310515114;3,38789557
